calc label enthalpy
e2ts_E_A_A_B_B_A_e2ts_E_A_A_B_C_A e2ts_E_A_A_B_B_A_e2ts_E_A_A_B_C_A -2911.72802756
e2ts_E_A_E_C_A_A_e2ts_C_A_E_C_A_A e2ts_E_A_E_C_A_A_e2ts_C_A_E_C_A_A -418.51238859
e2ts_E_E_C_E_A_A_e2ts_E_E_C_E_B_A e2ts_E_E_C_E_A_A_e2ts_E_E_C_E_B_A -796.89567535
e2ts_B_A_A_C_B_A_e2ts_B_B_A_C_B_A e2ts_B_A_A_C_B_A_e2ts_B_B_A_C_B_A -1039.55255923
e2ts_A_C_A_A_A_A_e2ts_A_C_A_B_A_A e2ts_A_C_A_A_A_A_e2ts_A_C_A_B_A_A -273.48590447
e2ts_C_B_C_A_B_A_e2ts_C_B_C_A_C_A e2ts_C_B_C_A_B_A_e2ts_C_B_C_A_C_A -3040.66273150
e2ts_D_D_E_D_B_D_e2ts_D_D_E_D_C_D e2ts_D_D_E_D_B_D_e2ts_D_D_E_D_C_D -5397.51767514
e2ts_E_B_D_D_C_B_e2ts_E_B_E_D_C_B e2ts_E_B_D_D_C_B_e2ts_E_B_E_D_C_B -3105.29714777
e2ts_D_E_D_B_C_B_e2ts_D_E_D_B_B_B e2ts_D_E_D_B_C_B_e2ts_D_E_D_B_B_B -976.08649242
e2ts_B_B_E_D_B_A_e2ts_B_B_E_D_B_B e2ts_B_B_E_D_B_A_e2ts_B_B_E_D_B_B -1141.03112469
e2ts_C_C_A_B_B_A_e2ts_C_C_B_B_B_A e2ts_C_C_A_B_B_A_e2ts_C_C_B_B_B_A -1131.62677913
e2ts_D_E_C_E_C_A_e2ts_B_E_C_E_C_A e2ts_D_E_C_E_C_A_e2ts_B_E_C_E_C_A -3059.02508174
e2ts_C_E_C_D_B_C_e2ts_C_B_C_D_B_C e2ts_C_E_C_D_B_C_e2ts_C_B_C_D_B_C -1425.87529477
e2ts_C_C_D_C_B_A_e2ts_C_C_D_C_C_A e2ts_C_C_D_C_B_A_e2ts_C_C_D_C_C_A -2967.76351922
